protein1,protein2,weight
PECAM1,CDH5,0.999
LDB1,LHX3,0.999
CHD3,CHD4,0.999
CHD3,RBBP4,0.999
MAX,MXD1,0.999
CHD3,RBBP7,0.999
MAX,MYC,0.999
IL3,CSF2RB,0.999
MYD88,TRAF6,0.999
RUVBL1,TRRAP,0.999
METTL3,METTL14,0.999
METTL3,RBM15B,0.999
RUVBL1,YEATS4,0.999
PKP2,DSG2,0.999
ITFG2,SZT2,0.999
IFNLR1,JAK1,0.999
ITFG2,DEPDC5,0.999
AP2A2,AP2M1,0.999
USP10,G3BP1,0.999
NUP35,NDC1,0.999
SNRNP200,LSM6,0.999
SNRNP200,SF3B5,0.999
PECAM1,KDR,0.999
SKIV2L,TTC37,0.999
RPS6,RPL30,0.999
RPS6,RPS17,0.999
RPS6,RPLP1,0.999
RPS6,RPL4,0.999
RPS6,RPS7,0.999
RPS6,RPS4X,0.999
RPS6,RPS5,0.999
RPS6,RPS28,0.999
IFNLR1,IFNL2,0.999
IFNLR1,IFNL1,0.999
ITFG2,KPTN,0.999
EME2,MUS81,0.999
ITFG2,C12orf66,0.999
AP2A2,AP2B1,0.999
IFNLR1,IL10RB,0.999
ITFG2,NPRL2,0.999
PXN,PARVA,0.999
RPS6,RPS25,0.999
RPS6,RPL10A,0.999
STAT1,JAK1,0.999
PXN,PTPN12,0.999
RPS6,RPL23A,0.999
SELPLG,SELE,0.999
ARPC3,ARPC1B,0.999
INTS5,INTS10,0.999
ARPC3,ACTR3,0.999
ARPC3,ARPC2,0.999
MAPK7,MAP2K5,0.999
BTRC,SKP1,0.999
SNRNP200,SNRPG,0.999
IFNLR1,IFNL3,0.999
RPS6,RPL17,0.999
PKP2,DSP,0.999
RPS6,RPS20,0.999
RPS6,RPL8,0.999
RPS6,RPL24,0.999
PXN,CRK,0.999
RPS6,RPL37A,0.999
RPS6,RPS2,0.999
RPS6,RPS15,0.999
RPS6,RPS8,0.999
INTS5,INTS12,0.999
ARPC3,ARPC4,0.999
INTS5,INTS14,0.999
INTS5,INTS1,0.999
INTS5,INTS2,0.999
ARPC3,ARPC5L,0.999
INTS5,INTS8,0.999
INTS5,INTS4,0.999
RPS6,UBA52,0.999
RPS6,RPL26,0.999
RPS6,RPL11,0.999
RPS6,RPS24,0.999
RPS6,RPL7,0.999
PKP2,DSC2,0.999
RPS6,RPL18,0.999
METTL3,VIRMA,0.999
RPS6,RPL9,0.999
SELL,MADCAM1,0.999
RPS6,RPS21,0.999
RPS6,RPL13,0.999
INTS5,INTS11,0.999
INTS5,INTS3,0.999
INTS5,INTS6,0.999
INTS5,POLR2A,0.999
INTS5,PPP2R1A,0.999
INTS5,INTS9,0.999
METTL3,METTL4,0.999
RPS6,RPL7A,0.999
RPS6,RPS10,0.999
RPS6,RPL36,0.999
RPS6,RPL27A,0.999
RPS6,RPL6,0.999
RPS6,RPL23,0.999
RPS6,RPL35,0.999
SELL,CD34,0.999
RPS6,RPS19,0.999
BTRC,CTNNB1,0.999
ARPC3,ARPC1A,0.999
INTS5,INTS7,0.999
ARPC3,ACTR2,0.999
ARPC3,ARPC5,0.999
RPS6,RPSA,0.999
RPS6,RPL15,0.999
RPS6,RACK1,0.999
RPS6,RPL10,0.999
RPS6,RPL34,0.999
METTL3,ZC3H13,0.999
RPS6,RPL5,0.999
RPS6,RPS18,0.999
RPS6,BYSL,0.999
RPS6,RPS12,0.999
RPS6,RPS16,0.999
IL3RA,IL3,0.999
FGF6,FGFR1,0.999
BTRC,NFKBIA,0.999
INTS5,INTS13,0.999
RPS6,RPL19,0.999
PXN,BCAR1,0.999
PXN,GIT2,0.999
RPS6,RPS14,0.999
PXN,VCL,0.999
RPS6,RPLP2,0.999
RPS6,RPL12,0.999
RUVBL1,RPAP3,0.999
BTRC,RBX1,0.999
SZT2,C12orf66,0.999
SZT2,DEPDC5,0.999
IL3RA,CSF2RB,0.999
PCDHGA4,PCDHGA2,0.999
RPS6,RPS15A,0.999
SKIV2L,WDR61,0.999
RPS6,RPS9,0.999
NCL,NPM1,0.999
MYD88,IL1B,0.999
RPS6,RPS23,0.999
PXN,PTK2B,0.999
PXN,ILK,0.999
RPS6,RPL38,0.999
MFAP1,SF3B1,0.999
RPS6,RPL13A,0.999
INO80E,INO80,0.999
INO80E,NFRKB,0.999
SZT2,ITFG2,0.999
SZT2,KPTN,0.999
SNRNP200,RNF113A,0.999
CCDC22,CCDC93,0.999
RPS6,RPL29,0.999
RPS6,RPL22,0.999
RPS6,RPL27,0.999
PXN,GIT1,0.999
MFAP1,SF3A3,0.999
RPS6,FAU,0.999
RPS6,RPL32,0.999
RPS6,RPLP0,0.999
METTL3,RBM15,0.999
RPS6,RPS13,0.999
MFAP1,EFTUD2,0.999
PXN,TLN2,0.999
RPS6,RPS6KB1,0.999
NPW,NPBWR2,0.999
BTRC,CUL1,0.999
INO80E,ACTR5,0.999
RPS6,RPS3A,0.999
RPS6,RPS27A,0.999
PXN,PTK2,0.999
PXN,TLN1,0.999
RPS6,RPS3,0.999
PXN,SRC,0.999
RPS6,RPS11,0.999
RUVBL1,VPS72,0.999
MFAP1,SNRPD2,0.999
MFAP1,SF3B4,0.999
MFAP1,SNRPD1,0.999
RPS6,RPL31,0.999
MYL2,MYL3,0.999
BTRC,AXIN1,0.999
BTRC,GSK3B,0.999
MYL2,MYH7,0.999
NPW,NPBWR1,0.999
NPW,NPB,0.999
RPS6,RPL3,0.999
RPS6,RPL28,0.999
RPS6,RPS27,0.999
RPS6,RPL35A,0.999
RPS6,RPL37,0.999
BRCA2,XRCC3,0.999
BLOC1S6,BLOC1S4,0.999
BLOC1S6,DTNBP1,0.999
BLOC1S6,BLOC1S5,0.999
BLOC1S6,BLOC1S1,0.999
BLOC1S6,MIPOL1,0.999
SNRNP200,PRPF3,0.999
BLOC1S6,BLOC1S2,0.999
BLOC1S6,SNAPIN,0.999
RPS6,RPS26,0.999
RUVBL1,KAT5,0.999
RPS6,RPL18A,0.999
WDR5,KMT2D,0.999
RPS6,EEF2,0.999
RPS6,RPL14,0.999
RPS6,RPL21,0.999
NFKBIE,REL,0.999
RPS6,RPS29,0.999
METTL3,CBLL1,0.999
METTL3,WTAP,0.999
COX7A1,UQCR11,0.999
MFAP1,SNRPG,0.999
WDR5,KAT2A,0.999
DPYD,UMPS,0.999
BLOC1S6,BLOC1S3,0.999
RMI1,RMI2,0.999
WDR5,KDM6A,0.999
WDR5,KANSL2,0.999
WDR5,CXXC1,0.999
WDR5,KMT2A,0.999
WDR5,H3-5,0.999
FANCB,FANCD2,0.999
FANCB,FAAP24,0.999
GAS1,SHH,0.999
FANCB,FANCA,0.999
CDKN1B,CCNE1,0.999
VPS33B,VIPAS39,0.999
CDKN1B,CCND3,0.999
CDKN1B,CDK6,0.999
CDKN1B,CDK4,0.999
FANCB,FAAP100,0.999
WDR5,WDR82,0.999
RUVBL1,RUVBL2,0.999
FANCB,FANCC,0.999
RUVBL1,DMAP1,0.999
FANCB,FANCG,0.999
FANCB,FANCM,0.999
WDR5,PAXIP1,0.999
FANCB,FANCI,0.999
FANCB,FANCL,0.999
BRCA2,RAD51C,0.999
YAF2,PCGF6,0.999
YAF2,PCGF1,0.999
CDKN1B,SKP2,0.999
CDKN1B,CCND1,0.999
FANCB,FANCE,0.999
WDR5,SETD1B,0.999
UCN3,CRHR2,0.999
BRCA2,BRCA1,0.999
MFAP1,PRPF8,0.999
FANCB,CENPS,0.999
VPS37B,TSG101,0.999
FANCB,FAAP20,0.999
VPS16,VPS33A,0.999
FANCB,FANCF,0.999
VPS16,VPS18,0.999
VPS16,TGFBRAP1,0.999
MFAP1,SNRPA1,0.999
APOA2,APOC3,0.999
VPS16,VPS8,0.999
VPS37B,VPS28,0.999
CDKN1B,CCNA2,0.999
SRPRA,SRPRB,0.999
CDKN1B,CCND2,0.999
CDKN1B,CCNA1,0.999
YAF2,RNF2,0.999
CDKN1B,CDK2,0.999
YAF2,RING1,0.999
WDR5,HCFC1,0.999
VPS37B,MVB12A,0.999
VPS16,VPS11,0.999
WDR5,SETD1A,0.999
VPS16,VPS41,0.999
MFAP1,SF3A1,0.999
VPS16,VPS39,0.999
VPS33A,VPS18,0.999
LTBR,LTB,0.999
DET1,DDA1,0.999
LTBR,LTA,0.999
DET1,CUL4A,0.999
DET1,DDB1,0.999
DET1,RBX1,0.999
CD200R1,CD200,0.999
RUVBL1,ACTR5,0.999
WDR5,KMT2C,0.999
WDR5,ASH2L,0.999
VPS33A,VPS39,0.999
PMF1,DSN1,0.999
UBE2N,UBE2V2,0.999
MFAP1,ZMAT2,0.999
WDR5,H3-2,0.999
SRPRA,SRP54,0.999
NDUFAB1,NDUFC1,0.999
LTBR,TNFSF14,0.999
POLR3B,POLR3K,0.999
LTBR,TRAF3,0.999
WDR5,H3-4,0.999
VPS33A,VPS11,0.999
WDR5,H3-3B,0.999
VPS33A,VPS41,0.999
WDR5,RBBP5,0.999
VPS33A,VPS16,0.999
NFKBIE,RELA,0.999
SGF29,SUPT20H,0.999
NDUFAB1,NDUFB3,0.999
OAS3,OAS2,0.999
NDUFAB1,NDUFV2,0.999
NDUFAB1,NDUFS1,0.999
RB1,CDK4,0.999
WDR5,KANSL1,0.999
BRCA2,FANCD2,0.999
SGF29,ENY2,0.999
PIGA,PIGQ,0.999
PIGA,PIGC,0.999
WDR5,H3C13,0.999
WDR5,DPY30,0.999
RB1,HDAC1,0.999
PIGA,DPM2,0.999
RUVBL1,EP400,0.999
WDR5,H3C12,0.999
SGF29,KAT2B,0.999
NDUFAB1,MT-ND3,0.999
NDUFAB1,NDUFA12,0.999
NDUFAB1,MT-ND4,0.999
POLR3B,POLR3A,0.999
NDUFAB1,NDUFA13,0.999
HLA-C,KIR2DL3,0.999
NDUFAB1,NDUFB5,0.999
NDUFAB1,NDUFC2,0.999
PIGA,PIGY,0.999
PIGA,PIGP,0.999
PIGA,PIGH,0.999
RB1,TFDP1,0.999
SGF29,ZZZ3,0.999
BRCA2,BARD1,0.999
PMF1,NSL1,0.999
RB1,CDK2,0.999
NDUFAB1,NDUFB8,0.999
POLR3B,POLR3C,0.999
POLR3B,POLR1D,0.999
POLR3B,POLR3F,0.999
NDUFAB1,NDUFB2,0.999
RB1,E2F4,0.999
RB1,MDM2,0.999
SGF29,KAT14,0.999
RB1,E2F2,0.999
RB1,E2F1,0.999
MFAP1,PRPF6,0.999
MFAP1,SMU1,0.999
RUVBL1,SRCAP,0.999
PMF1,MIS12,0.999
NDUFAB1,MT-ND5,0.999
NDUFAB1,NDUFA5,0.999
ALG14,ALG13,0.999
NDUFAB1,NDUFA6,0.999
NDUFAB1,NDUFS6,0.999
NDUFAB1,NDUFB11,0.999
AMT,GLDC,0.999
CKS1B,CDK2,0.999
ABRAXAS1,UIMC1,0.999
ABRAXAS1,BARD1,0.999
ABRAXAS1,BABAM1,0.999
ABRAXAS1,BRCA1,0.999
ABRAXAS1,BABAM2,0.999
ABRAXAS1,BRCC3,0.999
RUVBL1,ACTR6,0.999
HAUS6,HAUS5,0.999
HAUS6,HAUS7,0.999
HAUS6,HAUS2,0.999
SGF29,TRRAP,0.999
CKS1B,SKP1,0.999
IL25,IL17RA,0.999
IL25,IL17RB,0.999
NDUFAB1,NDUFA7,0.999
NDUFAB1,NDUFA9,0.999
SNRNP200,MFAP1,0.999
ALG14,DPAGT1,0.999
CKS1B,CDK1,0.999
HAUS6,HAUS8,0.999
HAUS6,HAUS1,0.999
HAUS6,HAUS4,0.999
SGF29,TADA2A,0.999
HAUS6,HAUS3,0.999
SGF29,TAF9,0.999
MFAP1,SART1,0.999
ARNT,EPAS1,0.999
CKS1B,SKP2,0.999
IL20RB,IL20RA,0.999
IL20RB,IL24,0.999
POLR3B,POLR2F,0.999
IL26,IL10RB,0.999
IL20RB,IL22RA1,0.999
CACNA1D,CACNA2D1,0.999
NDUFAB1,NDUFS4,0.999
RMI1,RPA1,0.999
WAPL,PDS5A,0.999
SGF29,TADA2B,0.999
ARNT,AHR,0.999
SGF29,KAT2A,0.999
RUVBL1,CTNNB1,0.999
SGF29,TADA3,0.999
NDUFAB1,NDUFB9,0.999
NDUFAB1,NDUFA3,0.999
NDUFAB1,NDUFB7,0.999
NDUFAB1,NDUFA11,0.999
NDUFAB1,NDUFA1,0.999
C8A,C8B,0.999
C8A,C8G,0.999
ARNT,HIF1A,0.999
WAPL,SMC3,0.999
WAPL,RAD21,0.999
ARNT,EP300,0.999
ARNT,HIF3A,0.999
C8A,C5,0.999
RUVBL1,INO80B,0.999
POLR3B,POLR3D,0.999
NDUFAB1,MT-ND1,0.999
MT1E,MT1H,0.999
NDUFAB1,NDUFS3,0.999
HAUS7,HAUS5,0.999
HAUS7,HAUS6,0.999
WAPL,STAG1,0.999
WAPL,PDS5B,0.999
TFDP1,E2F1,0.999
TFDP1,E2F6,0.999
TFDP1,E2F5,0.999
APOA2,APOB,0.999
BCL10,CARD9,0.999
TFDP1,E2F4,0.999
SHLD2,SHLD3,0.999
TFDP1,RB1,0.999
GEMIN8,GEMIN2,0.999
SHLD2,MAD2L2,0.999
MFAP1,PRPF4,0.999
MFAP1,PRPF38A,0.999
UTS2,UTS2R,0.999
MFAP1,SNRNP200,0.999
BCL10,TRAF6,0.999
CKS1B,CCNA2,0.999
TRIM49,TRIM49C,0.999
POLR3B,POLR2H,0.999
NDUFAB1,MT-ND4L,0.999
HLA-C,B2M,0.999
AMT,GCSH,0.999
NDUFAB1,NDUFV1,0.999
SGF29,TAF12,0.999
SGF29,TAF10,0.999
MFAP1,SF3B3,0.999
GEMIN8,GEMIN6,0.999
BCL10,MALT1,0.999
NDUFAB1,NDUFB10,0.999
OST4,RPN2,0.999
OST4,RPN1,0.999
NDUFAB1,NDUFV3,0.999
HAUS7,HAUS1,0.999
NDUFAB1,MT-ND2,0.999
HLA-C,KIR2DL1,0.999
IFNG,IFNGR1,0.999
GEMIN8,GEMIN7,0.999
BCL10,CARD11,0.999
MFAP1,PRPF31,0.999
BRCA2,PALB2,0.999
OST4,STT3A,0.999
NDUFAB1,NDUFS2,0.999
NDUFAB1,NDUFS5,0.999
OST4,DAD1,0.999
HAUS7,HAUS8,0.999
OST4,DDOST,0.999
NUP35,NUP93,0.999
NDUFAB1,OXSM,0.999
OST4,TMEM258,0.999
HAUS7,HAUS2,0.999
SNRNP200,SNRPA1,0.999
ERBB3,ERBB2,0.999
PFN3,ACTB,0.999
BCL10,IKBKG,0.999
ERBB3,NRG1,0.999
BCL10,CARD10,0.999
ERBB3,EGFR,0.999
SGF29,SUPT3H,0.999
RUVBL1,PIH1D1,0.999
NDUFAB1,NDUFS8,0.999
NDUFAB1,NDUFA10,0.999
JAG2,NOTCH2,0.999
OST4,STT3B,0.999
NDUFAB1,NDUFA2,0.999
NDUFAB1,NDUFA8,0.999
TLR9,MYD88,0.999
ERBB3,ERBB4,0.999
RRAGA,LAMTOR1,0.999
RRAGA,NPRL2,0.999
RRAGA,RRAGD,0.999
RRAGA,LAMTOR3,0.999
RRAGA,DEPDC5,0.999
RRAGA,LAMTOR5,0.999
RRAGA,SLC38A9,0.999
PHKG2,PHKA1,0.999
FANCI,FANCE,0.999
NDUFAB1,NDUFB4,0.999
NDUFAB1,NDUFB6,0.999
JAG2,NOTCH1,0.999
SNRNP200,ZMAT2,0.999
POLR3B,POLR3E,0.999
RRAGA,LAMTOR4,0.999
RRAGA,NPRL3,0.999
RRAGA,RPTOR,0.999
RRAGA,LAMTOR2,0.999
RRAGA,RRAGB,0.999
RRAGA,RRAGC,0.999
RRAGA,MTOR,0.999
MFAP1,BUD13,0.999
ERBB3,EGF,0.999
JAG2,NOTCH3,0.999
POLR3B,CRCP,0.999
NDUFAB1,NDUFS7,0.999
PHKG2,PHKA2,0.999
NDUFAB1,NDUFB1,0.999
POLR3B,POLR3G,0.999
POLR3B,POLR1C,0.999
PHKG2,PHKB,0.999
POLR3B,POLR3H,0.999
ERBB3,SHC1,0.999
MKNK1,MAPK1,0.999
CYB5R3,CYB5B,0.999
ERBB3,NRG2,0.999
ERBB3,GRB2,0.999
POLR3B,POLR2E,0.999
POLR3B,POLR2L,0.999
FANCI,FANCC,0.999
FANCI,FANCB,0.999
CYB5R3,CYB5A,0.999
DXO,XRN2,0.999
CPSF2,CPSF1,0.999
CPSF2,CPSF4,0.999
CPSF2,WDR33,0.999
PLXNB1,RND1,0.999
STAT1,CREBBP,0.999
PLXNB1,SEMA4D,0.999
MTHFD1,SHMT1,0.999
MPI,PMM2,0.999
ITGB7,ITGAE,0.999
UBE2N,TRAF6,0.999
BTF3,NACA,0.999
POLR3B,POLR2K,0.999
SNRNP200,PRPF8,0.999
SNRNP200,LSM4,0.999
SNRNP200,SF3A1,0.999
KLHL12,CUL3,0.999
ITGB7,ITGA4,0.999
NPFF,NPFFR1,0.999
NPFF,NPFFR2,0.999
LMNA,EMD,0.999
TARBP2,AGO2,0.999
CPSF2,CPSF3,0.999
TARBP2,DICER1,0.999
CPSF2,FIP1L1,0.999
CPSF2,SYMPK,0.999
BRCA2,RAD51,0.999
NUP88,NUP62,0.999
JAG2,NOTCH4,0.999
IFNG,IFNGR2,0.999
FANCI,FANCL,0.999
CDK2,SPDYA,0.999
CPSF2,CSTF2,0.999
CDK2,CCNB2,0.999
CDK2,CDKN3,0.999
CDK2,CCNB1,0.999
CDK2,CCND3,0.999
CDK2,CDKN1A,0.999
PSMB10,PSMA2,0.999
DCLRE1B,TERF2,0.999
ALDH4A1,LOC102724788,0.999
CDK2,CKS1B,0.999
BNIP3L,GABARAP,0.999
MMS22L,TONSL,0.999
BNIP3L,GABARAPL2,0.999
RPS17,RPS3,0.999
TLR3,TRAF6,0.999
RPS17,RPS27A,0.999
RPS17,RPS3A,0.999
NUP88,NUP214,0.999
NUP107,NUP155,0.999
FANCI,FANCD2,0.999
NUP107,SEH1L,0.999
SNRNP200,SNRNP40,0.999
HSPA9,HSPD1,0.999
FANCI,FANCG,0.999
NUP107,NUP214,0.999
RPS17,RPS13,0.999
RPS17,RPLP0,0.999
RPS17,RPL32,0.999
RPS17,FAU,0.999
RPS17,RPL36A,0.999
PSMB10,PSMB4,0.999
CDK2,CCNE1,0.999
RPS17,RPL13A,0.999
NUP107,NUP160,0.999
NUP107,NUP93,0.999
NUP107,NUP37,0.999
FANCI,FANCA,0.999
SNRNP200,CWC22,0.999
NUP107,NUP205,0.999
RPS17,RPL29,0.999
RPS17,RPL27,0.999
CDK2,CDC6,0.999
RPS17,RPL38,0.999
ALDH4A1,PRODH,0.999
RPS17,RPS23,0.999
BNIP3L,GABARAPL1,0.999
RPS17,RPS9,0.999
NUP107,NUP133,0.999
NUP107,NUP43,0.999
APBB1IP,VASP,0.999
NUP107,SEC13,0.999
NUP88,NUP98,0.999
NUP107,NUP85,0.999
RPS17,RPS15A,0.999
RPS17,RPL12,0.999
RPS17,RPS14,0.999
RPS17,RPLP2,0.999
RPS17,RPL21,0.999
RPS17,RPS29,0.999
CDK2,RB1,0.999
RPS17,RPL14,0.999
PSMB10,PSMA1,0.999
CDK2,SKP2,0.999
RPS17,RPL18A,0.999
RPS17,RPS26,0.999
CDK2,FOXO3,0.999
PSMB10,PSMA6,0.999
MTHFD1,GART,0.999
BRCA2,SEM1,0.999
RPS17,RPL37,0.999
NUP88,RANBP2,0.999
NUP107,NUP153,0.999
NUP107,AHCTF1,0.999
SYNE1,SUN1,0.999
APBB1IP,TLN2,0.999
APBB1IP,TLN1,0.999
NUP107,NUP98,0.999
TAF1C,TAF1A,0.999
CNOT2,CNOT8,0.999
TAF1C,TAF1B,0.999
CNOT2,CNOT6,0.999
CNOT2,CNOT3,0.999
TAF1C,TAF1D,0.999
CNOT2,CNOT11,0.999
CNOT2,CNOT10,0.999
CNOT2,CNOT1,0.999
CDK2,CCND1,0.999
RPS17,RPL35A,0.999
CDK2,SKP1,0.999
RPS17,RPL31,0.999
RPS17,RPL28,0.999
RPS17,RPS27,0.999
CDK2,CCNL2,0.999
CDK2,CCNA1,0.999
HMGCR,HMGCS2,0.999
KRR1,PDCD11,0.999
KRR1,BMS1,0.999
KRR1,TBL3,0.999
KRR1,WDR36,0.999
CNOT2,CNOT6L,0.999
CNOT2,CNOT4,0.999
CNOT2,CNOT7,0.999
SNRNP200,LSM5,0.999
SNRNP200,SF3A2,0.999
CNOT2,CNOT9,0.999
PSMB10,PSMB1,0.999
RPS17,RPS11,0.999
CDK2,CCNE2,0.999
RPS17,RPS2,0.999
RPS17,RPS6,0.999
RPS17,UBA52,0.999
RPS17,RPL37A,0.999
RPS17,RPS8,0.999
RPS17,RPL8,0.999
RPS17,RPS15,0.999
RPS17,RPL24,0.999
KRR1,RRP9,0.999
KRR1,UTP3,0.999
NOG,BMP4,0.999
IL17RB,IL17B,0.999
KRR1,RRP7A,0.999
KRR1,UTP20,0.999
KRR1,UTP11,0.999
KRR1,FCF1,0.999
KRR1,EMG1,0.999
KRR1,NOP14,0.999
KRR1,WDR3,0.999
KRR1,UTP18,0.999
RPS17,RPL23A,0.999
RPS17,RPL17,0.999
RPS17,RPS20,0.999
RPS17,RPL4,0.999
RPS17,RPS25,0.999
RPS17,RPS28,0.999
RPS17,RPS5,0.999
RPS17,RPS7,0.999
RPS17,RPS4X,0.999
RPS17,RPLP1,0.999
CDK2,CDKN1B,0.999
RPS17,RPL30,0.999
HADHA,HADHB,0.999
STIP1,HSPA8,0.999
KRR1,UTP4,0.999
